#Person1#'s getting a check-up, and Doctor #Person2# advises him to have one every year.	get a check-up
#Person1#'s looking for a set of keys and asks for #Person2#'s help to find them.	find keys
#Person1#'s angry because #Person2# didn't tell #Person1# that #Person2# had a girlfriend and would marry her.	have a girlfriend
#Person1# gives Aims a birthday present and Aims loves it.	birthday
#Person1# tells #Person2# the fare of taking a taxi.	pay the fare
#Person1# shows a basic computer package to #Person2#.	a job application
#Person1# has an interview with a visa official.	a computer package
#Person1# asks #Person2# to do a favor.	a visa
#Person2# thinks the picture is lovely and asks #Person1# to give a slide and a wallet-size print.	do a favor
#Person2# suggests #Person1# use a spam filter to reject #Person3#'s pornographic stuff.	a copy
#Person1# and #Person2# are talking about their families' ages.	sexual harrassment
#Person2# likes dance music while #Person1# prefers classical music.	age
#Person1# asks #Person2# whether she plans on having more babies.	Valentine's Day
#Person1# and #Person2# are talking about different choices of ice cream.	triplets
#Person1# invites #Person2# to work together, and #Person2# agrees.	ice cream
#Person1#'s getting dressed in the car, and #Person2# warns her not.	work together
#Person1# asks #Person2# what they need to do when they check in at the Air China's counter.	get dressed
#Person1# calls #Person2# because #Person1# needs a mover.	check in
#Person1# is ready for the check after #Person2# brings her the blueberry pie.	find an apartment
#Person1# and #Person2# are talking about how to end an interview.	hotel
#Person2# doesn't think the flat is really all that good.	marriage
#Person1# tells #Person2# he doesn't need anything else besides slides.	resume
#Person1# suggests going for a dip at the beach.	map
#Person1# wants to change her major from business to art history.	rent a flat
#Person1# tells #Person1# what she would do if she lost all money and cards abroad.	restaurant
#Person1# finds the new shop has a good literature section.	flat
#Person1# and #Person2# are in a hurry.	swim
#Person1# is not going to buy the Ford car.	connecting flight
#Person1# and #Person2# are planning a surprise party for Jakie.	flu
#Person2# tells #Person2# how to set up her voicemail message.	order
#Person1# and #Person2# are talking about the lunch meeting with the investors.	change major
#Person1# and #Person2# are talking about labor unions.	lost money
#Person1# and #Person2# agree that this country is strong only in appearance.	keep people waiting
#Person1# and #Person2# are talking about #Person1#'s cousin Monik, who has grown into a very attractive young lady.	shop
#Person2# buys a grey sweater and a pair of jeans for her husband according to #Person1#'s suggestions.	be a singer
#Person2# can't make a 4-person meal for a single person.	project discussion
#Person2# doesn't know how to fill up the car with a self-service pump.	buy a car
#Person1# advises #Person2# to advertise his book himself.	surprise party
#Person2# wants to get a summer job to save money for a vacation to Latin America.	wedding
#Person1# and #Person2# both had a good weekend.	voicemail message
#Person1# wants to know if #Person2# saw someone pick up her sports bag.	lunch meeting
#Person1# can't find a hotel that allows dogs.	labor union
#Person1# helps #Person2# to order the steak, mushrooms, baked potatoes, iced tea, and cream and onion soup.	country
#Person1# asks #Person2# the terms and interest rates for a personal automobile loan.	attractive young lady
#Person2# comes to #Person1# to file a complaint that #Person2# got robbed.	buy clothes
#Person1# was at the scene during the robbery, and Officer asks #Person1# for further questioning.	gas station
#Person2# tells #Person1# #Person2# is #Person4# and explains the difference between the church #Person2# goes and other Churches.	advertise the book
#Person1# dresses up to attend a New Year's banquet and asks #Person1# for advice on her dressing and necklace.	travel
#Person1# invites #Person2# for a dance at the party and praises her beautiful dance.	celebrate birthday
#Person2# tells #Person1# the article #Person2#'s reading.	sports bag
#Person2# tells #Person1# the goods price in outlet store is low, but #Person2# may find some faulty products.	find a hotel
#Person1# feels depressed when knowing 10,000 people died in the earthquake.	take orders
#Person1# wants to buy a desktop computer with a lot of memory and turns to #Person2# for help.	automobile consumer loan
Laura Wills comes to #Person3# Rice's office but is told that #Person3# is not here today.	robbery complaint form
#Person2# tells #Person1# how to get to the bus station.	work experience
#Person1# thinks #Person2# should run for senior class president and tells her about the responsibility of the president.	Mormon
#Person1# thanks #Person2# for filling #Person1# in on yesterday's lecture.	banquet dressing
#Person1# asks #Person2# to get a private room.	language
#Person1# tells #Person2# #Person1# finds a house, and it's lovely inside.	outlet store
#Person2# refuses #Person1#'s invitation to a gardening club.	earthquake news
#Person1# meets #Person2# and #Person3# after the English Evening.	buying a computer
#Person1# wants to choose a sweater as #Person1#'s girlfriend birthday gift and #Person2# helps	make another appointment
#Person1# is worried about Monday's exam and asks #Person2# about the related information.	salary
#Person1# had a birthday party for her sister last night and stayed up late typing a literature paper.	ask the way
#Person1# agrees to go to the art exhibition with #Person1#.	price agreement
#Person1#'s been thinking about joining a health club, and #Person2# feels the improvements in the Good-life health club.	senior class president
#Person2# dislikes summer while #Person1# thinks summer is more charming.	lecture review
#Person1# looks for a particular CD, but it's sold out.	business hours
#Person1# suggests cycling to the concert to avoid traffic.	take the temperature
Mom helps #Person2# proofread the paper and thinks it is terrific.	new house
#Person1# asks about #Person2#'s marital status, and #Person2# is still single.	gardening club invitation
#Person2# wants to buy clothes to protect him from wind and rain.	greeting
#Person1# tells #Person2# the language class information, and #Person2# might take Spanish class.	exam information
#Person1# thinks the flowers in #Person2#'s garden are colorful.	stay up
#Person1# surfs the Internet browsing the top gift on Mother's Day.	car manufacturing
#Person1# asks #Person2# the way to the Renaissance Hotel.	art exhibition invitation
#Person1# has a car accident but tells his father the car is stolen.	different seasons
#Person2#'s dog barks at midnight and #Person1# asks #Person2# to get #Person2#'s dog to stop barking.	album
#Person1# shows her Dad her painting which includes a house, trees, and her dad in the sky.	fix a bike
#Person2# tells #Person1# that the Sunflower restaurant will reopen after repairing the damage.	paper proofread
#Person1#'s planning on introducing #Person1# to her parents.	 marital status
#Person2# wants to change a note into some changes in #Person2#'s shop.	office romances
#Person2# remembers Eric Chang's name under the help of #Person1#.	Chinese habits
#Person1# wants to go to Cambridge by train.	buying clothes
#Person2# graduated from Guangzhou University with a bachelor's degree in Economics this June.	language class
#Person1# and #Person2# are both amateur mountain climbers.	gardening
#Person1# bought a China dress with one size up by mistake at #Person2#'s shop.	Mother's Day gift
#Person2# has a terrible stomach-ache and frequently goes to the toilet.  	joke
#Person1# and #Person2# are going to #Person3#'s birthday party this Friday evening.	tell the truth
#Person1# asks #Person2# what to eat and what to drink.	midnight dog barking
#Person1# will give an end-of-unit test this Friday.	painting
#Person2# is soaked because of heavy rain.	closed restaurant
#Person1# introduces English idioms to #Person1#.	Germany greeting
#Person1# suggests go out for a drink after a tough interview.	money change
#Person2# transferred from PCC to #Person1#'s school because #Person2#'s grades weren't good enough first.	look for someone
#Person2# tells #Person1# that #Person2# cancels the traveling plan because of the flood in the South.	ask for directions
#Person1# didn't go to school today.	conversation about university
#Person1# calls the apartment manager to see the apartment on Main Street.	amateur mountain climbers
#Person1# and #Person2# are talking about #Person2#'s new boss.	change size
#Person1# calls Li Lan at IMPF Bank to withdraw 500, 000 RIB.	at the doctor's
#Person1# will meet #Person2# at 1.30 because two of #Person1#'s classes occur at the same time.	food poisoning
#Person1# and #Person2# talk about how they understand lifelong learning.	Helen's birthday party
#Person1# serves #Person2# to order a well-done steak and one whiskey.	ordering food
#Person1# is seeing a show at Rockefeller Center.	end-of-unit test
#Person1# tells #Person2# about the basketball game on Friday.	conversation in restaurant
#Person2# tells #Person1# that #Person2# can only afford about 300 pounds a month on rent in London.	English idioms
#Person1# asks #Person2# the temperature today and tomorrow, Beijing's climate, and #Person2#'s favorite season.	after interview
#Person1# serves #Person2# to open a checking account.	transfer school
#Person1# and his wife will take their parents on a vacation.	travel plan cancelled
#Person2# is going to catch the bus and goes into #Person1#.	see the apartment
#Person1# tells #Person2# that #Person1# will stay at the same place again next time passing through.	new job
#Person1# asks #Person2# why most people cannot reach goals.	cash withdrawal
#Person1# tells #Person2# there is a waitress wanted for a new restaurant.	change classes
#Person1# invites #Person2# to go to the Beijing Opera.	confirm reservation
#Person1# and #Person2# talk about the new girl who takes place of #Person3# in the sales department.	order a taxi
#Person1# is a student journalist and interviews #Person2# for the school newspaper.	temperature and climate
#Person1# and #Person2# are talking about the new show called stranger things.	vacation with parents
#Person1# asks #Person2# why #Person2# has been late for 2 hours.	President Obama
#Person2# is going to the Roxy Club with five people.	catch a bus
#Person2# is agnostic, while #Person1# basically believes in science over theology.	summer job
#Person1# introduces to #Person2# the account types in the bank and helps #Person2# open the monthly savings account.	watch Beijing Opera
#Person1# tells #Person2# the plan but #Person2# gets hurt when conducting the plan.	go to concert
#Person1# asks #Person2# to write the agenda of the board meeting on the notice board.	buy pizza
#Person1# and #Person2# talk about the new year resolution.	conversation between colleagues
#Person1# tells #Person2# about #Person1#'s terrible week.	ring tone
#Person2# has prepared well for the final examination but #Person1# doubts.	news
#Person1# can't decide whether to go to university or to get a job.	interview new student
#Person1# interviews #Person2# and asks #Person2# about #Person2#'s work experience, the systems #Person2# has worked on and #Person2#'s strengths.	new show
#Person1# wants to book a room for three nights and #Person1# from the San Felice Hotel helps her.	at the airport
#Person1# helps #Person2# book a table for the day after tomorrow and introduces to #Person2# the dinner courses.	call a taxi
#Person1# offers #Person2# roast chicken and barbecue sauce.	movie Ccds
